Job Title,Company,Location,Apply Link,Priority Score
Senior Python Developer,"Payne, Roberts and Davis","Stewartbury, AA",https://realpython.github.io/fake-jobs/jobs/senior-python-developer-0.html,10
Energy engineer,Vasquez-Davidson,"Christopherville, AA",https://realpython.github.io/fake-jobs/jobs/energy-engineer-1.html,5
Software Engineer (Python),Garcia PLC,"Ericberg, AE",https://realpython.github.io/fake-jobs/jobs/software-engineer-python-10.html,10
Materials engineer,Smith and Sons,"South Davidtown, AP",https://realpython.github.io/fake-jobs/jobs/materials-engineer-19.html,5
Python Programmer (Entry-Level),"Moss, Duncan and Allen","Port Sara, AE",https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-20.html,10
Materials engineer,"Davis, Serrano and Cook","South Tammyberg, AP",https://realpython.github.io/fake-jobs/jobs/materials-engineer-24.html,5
Data scientist,Thomas Group,"Port Robertfurt, AA",https://realpython.github.io/fake-jobs/jobs/data-scientist-26.html,5
Structural engineer,Pierce-Long,"Herbertside, AA",https://realpython.github.io/fake-jobs/jobs/structural-engineer-28.html,5
Python Programmer (Entry-Level),Cooper and Sons,"West Victor, AE",https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-30.html,10
Broadcast engineer,"Morgan, Butler and Bennett","Loribury, AA",https://realpython.github.io/fake-jobs/jobs/broadcast-engineer-32.html,5
"Engineer, communications",Dixon Inc,"Wrightberg, AP",https://realpython.github.io/fake-jobs/jobs/engineer-communications-38.html,5
Software Developer (Python),Adams-Brewer,"Brockburgh, AE",https://realpython.github.io/fake-jobs/jobs/software-developer-python-40.html,10
"Engineer, broadcasting (operations)",Taylor PLC,"Gileston, AA",https://realpython.github.io/fake-jobs/jobs/engineer-broadcasting-operations-48.html,5
Python Developer,Rivera and Sons,"East Michaelfort, AA",https://realpython.github.io/fake-jobs/jobs/python-developer-50.html,10
Manufacturing systems engineer,Garcia PLC,"Joybury, AE",https://realpython.github.io/fake-jobs/jobs/manufacturing-systems-engineer-51.html,5
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA",https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-60.html,10
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP",https://realpython.github.io/fake-jobs/jobs/engineer-automotive-65.html,5
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA",https://realpython.github.io/fake-jobs/jobs/back-end-web-developer-python-django-70.html,10
Systems developer,Collins Group,"New Elizabethtown, AA",https://realpython.github.io/fake-jobs/jobs/systems-developer-74.html,5
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP",https://realpython.github.io/fake-jobs/jobs/python-programmer-entry-level-80.html,10
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP",https://realpython.github.io/fake-jobs/jobs/manufacturing-systems-engineer-86.html,5
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE",https://realpython.github.io/fake-jobs/jobs/software-developer-python-90.html,10
Database administrator,Yates-Ferguson,"Port Susan, AE",https://realpython.github.io/fake-jobs/jobs/database-administrator-97.html,5
